Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
323.407    0.100000    10          1.11
328.111    0.200000    20          1.25
334.015    0.300000    30          1.43
339.007    0.400000    40          1.67
342.511    0.500000    50          2.00
346.815    0.550000    55          2.22
347.503    0.600000    60          2.50
351.215    0.650000    65          2.86
354.511    0.700000    70          3.33
358.207    0.750000    75          4.00
361.903    0.775000    78          4.44
362.207    0.800000    80          5.00
363.711    0.825000    83          5.71
367.007    0.850000    85          6.67
371.503    0.875000    88          8.00
372.415    0.887500    89          8.89
372.815    0.900000    90          10.00
378.815    0.912500    91          11.43
381.615    0.925000    93          13.33
393.407    0.937500    94          16.00
393.407    0.943750    94          17.78
395.407    0.950000    95          20.00
395.407    0.956250    96          22.86
395.407    0.962500    96          26.67
407.407    0.968750    97          32.00
407.407    0.971875    97          35.56
425.407    0.975000    98          40.00
425.407    0.978125    98          45.71
425.407    0.981250    98          53.33
425.407    0.984375    98          64.00
437.615    0.985938    99          71.11
437.615    0.987500    99          80.00
437.615    0.989062    99          91.42
437.615    0.990625    99          106.67
437.615    0.992188    99          128.01
437.615    0.992969    99          142.23
437.615    0.993750    99          160.00
437.615    0.994531    99          182.85
446.607    0.995313    100         213.36
446.607    0.996094    100         256.02
446.607    0.996484    100         284.41
446.607    0.996875    100         320.00
446.607    0.997266    100         365.76
446.607    0.997656    100         426.62
446.607    0.998047    100         512.03
446.607    0.998242    100         568.83
446.607    0.998437    100         639.80
446.607    0.998633    100         731.53
446.607    0.998828    100         853.24
446.607    0.999023    100         1023.54
446.607    0.999121    100         1137.66
446.607    0.999219    100         1280.41
446.607    0.999316    100         1461.99
446.607    0.999414    100         1706.48
446.607    0.999512    100         2049.18
446.607    0.999561    100         2277.90
446.607    0.999609    100         2557.54
446.607    0.999658    100         2923.98
446.607    0.999707    100         3412.97
446.607    0.999756    100         4098.36
446.607    0.999780    100         4545.45
446.607    0.999805    100         5128.21
446.607    0.999829    100         5847.95
446.607    0.999854    100         6849.32
446.607    0.999878    100         8196.72
446.607    0.999890    100         9090.91
446.607    0.999902    100         10204.08
446.607    0.999915    100         11764.71
446.607    0.999927    100         13698.63
446.607    0.999939    100         16393.44
446.607    0.999945    100         18181.82
446.607    0.999951    100         20408.16
446.607    0.999957    100         23255.81
446.607    0.999963    100         27027.03
446.607    0.999969    100         32258.06
446.607    0.999973    100         37037.04
446.607    0.999976    100         41666.67
446.607    0.999979    100         47619.05
446.607    0.999982    100         55555.56
446.607    0.999985    100         66666.67
446.607    0.999986    100         71428.57
446.607    0.999988    100         83333.33
446.607    0.999989    100         90909.09
446.607    0.999991    100         111111.11
446.607    0.999992    100         125000.00
446.607    0.999993    100         142857.14
446.607    0.999994    100         166666.67
446.607    0.999995    100         200000.00
446.607    0.999996    100         250000.00
446.607    0.999997    100         333333.33
446.607    0.999998    100         500000.00
446.607    0.999999    100         1000000.00
446.607    1.000000    100         10000000.00
