Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
3157.631   0.100000    172         1.11
5130.495   0.200000    344         1.25
7822.335   0.300000    517         1.43
8995.839   0.400000    689         1.67
10084.351  0.500000    861         2.00
11236.863  0.550000    947         2.22
12168.703  0.600000    1033        2.50
12974.079  0.650000    1119        2.86
14225.919  0.700000    1205        3.33
15459.839  0.750000    1292        4.00
15756.799  0.775000    1335        4.44
16060.927  0.800000    1378        5.00
16261.119  0.825000    1421        5.71
16565.759  0.850000    1464        6.67
16904.191  0.875000    1507        8.00
16985.087  0.887500    1528        8.89
17224.703  0.900000    1550        10.00
17385.471  0.912500    1571        11.43
17952.767  0.925000    1593        13.33
18423.807  0.937500    1614        16.00
18838.527  0.943750    1625        17.78
19558.399  0.950000    1636        20.00
19562.495  0.956250    1647        22.86
19565.567  0.962500    1657        26.67
19693.567  0.968750    1668        32.00
20133.887  0.971875    1674        35.56
20708.351  0.975000    1679        40.00
20890.623  0.978125    1684        45.71
21767.167  0.981250    1690        53.33
22533.119  0.984375    1695        64.00
23159.807  0.985938    1698        71.11
23261.183  0.987500    1700        80.00
23266.303  0.989062    1703        91.42
23788.543  0.990625    1706        106.67
23818.239  0.992188    1709        128.01
23819.263  0.992969    1710        142.23
23820.287  0.993750    1711        160.00
23822.335  0.994531    1713        182.85
23822.335  0.995313    1714        213.36
23832.575  0.996094    1715        256.02
23883.775  0.996484    1716        284.41
23884.799  0.996875    1717        320.00
23884.799  0.997266    1717        365.76
23887.871  0.997656    1718        426.62
24101.887  0.998047    1719        512.03
24101.887  0.998242    1719        568.83
24101.887  0.998437    1719        639.80
24753.151  0.998633    1720        731.53
24753.151  0.998828    1720        853.24
24753.151  0.999023    1720        1023.54
24753.151  0.999121    1720        1137.66
24753.151  0.999219    1721        1280.41
24753.151  0.999316    1721        1461.99
24753.151  0.999414    1721        1706.48
24753.151  0.999512    1721        2049.18
24753.151  0.999561    1721        2277.90
24753.151  0.999609    1721        2557.54
24753.151  0.999658    1721        2923.98
24753.151  0.999707    1721        3412.97
24753.151  0.999756    1722        4098.36
24753.151  0.999780    1722        4545.45
24753.151  0.999805    1722        5128.21
24753.151  0.999829    1722        5847.95
24753.151  0.999854    1722        6849.32
24753.151  0.999878    1722        8196.72
24753.151  0.999890    1722        9090.91
24753.151  0.999902    1722        10204.08
24753.151  0.999915    1722        11764.71
24753.151  0.999927    1722        13698.63
24753.151  0.999939    1722        16393.44
24753.151  0.999945    1722        18181.82
24753.151  0.999951    1722        20408.16
24753.151  0.999957    1722        23255.81
24753.151  0.999963    1722        27027.03
24753.151  0.999969    1722        32258.06
24753.151  0.999973    1722        37037.04
24753.151  0.999976    1722        41666.67
24753.151  0.999979    1722        47619.05
24753.151  0.999982    1722        55555.56
24753.151  0.999985    1722        66666.67
24753.151  0.999986    1722        71428.57
24753.151  0.999988    1722        83333.33
24753.151  0.999989    1722        90909.09
24753.151  0.999991    1722        111111.11
24753.151  0.999992    1722        125000.00
24753.151  0.999993    1722        142857.14
24753.151  0.999994    1722        166666.67
24753.151  0.999995    1722        200000.00
24753.151  0.999996    1722        250000.00
24753.151  0.999997    1722        333333.33
24753.151  0.999998    1722        500000.00
24753.151  0.999999    1722        1000000.00
24753.151  1.000000    1722        10000000.00
