Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
1518.335   0.100000    10          1.11
1716.351   0.200000    20          1.25
1785.023   0.300000    30          1.43
1832.319   0.400000    40          1.67
1888.063   0.500000    50          2.00
1937.727   0.550000    55          2.22
2020.351   0.600000    60          2.50
2054.207   0.650000    65          2.86
2084.863   0.700000    70          3.33
2105.343   0.750000    75          4.00
2116.607   0.775000    78          4.44
2139.263   0.800000    80          5.00
2209.407   0.825000    83          5.71
2229.119   0.850000    85          6.67
2592.639   0.875000    88          8.00
2848.511   0.887500    89          8.89
3444.863   0.900000    90          10.00
7037.439   0.912500    91          11.43
8231.935   0.925000    93          13.33
8499.711   0.937500    94          16.00
8499.711   0.943750    94          17.78
8548.351   0.950000    95          20.00
8571.903   0.956250    96          22.86
8571.903   0.962500    96          26.67
8797.183   0.968750    97          32.00
8797.183   0.971875    97          35.56
8857.087   0.975000    98          40.00
8857.087   0.978125    98          45.71
8857.087   0.981250    98          53.33
8857.087   0.984375    98          64.00
8884.223   0.985938    99          71.11
8884.223   0.987500    99          80.00
8884.223   0.989062    99          91.42
8884.223   0.990625    99          106.67
8884.223   0.992188    99          128.01
8884.223   0.992969    99          142.23
8884.223   0.993750    99          160.00
8884.223   0.994531    99          182.85
8922.111   0.995313    100         213.36
8922.111   0.996094    100         256.02
8922.111   0.996484    100         284.41
8922.111   0.996875    100         320.00
8922.111   0.997266    100         365.76
8922.111   0.997656    100         426.62
8922.111   0.998047    100         512.03
8922.111   0.998242    100         568.83
8922.111   0.998437    100         639.80
8922.111   0.998633    100         731.53
8922.111   0.998828    100         853.24
8922.111   0.999023    100         1023.54
8922.111   0.999121    100         1137.66
8922.111   0.999219    100         1280.41
8922.111   0.999316    100         1461.99
8922.111   0.999414    100         1706.48
8922.111   0.999512    100         2049.18
8922.111   0.999561    100         2277.90
8922.111   0.999609    100         2557.54
8922.111   0.999658    100         2923.98
8922.111   0.999707    100         3412.97
8922.111   0.999756    100         4098.36
8922.111   0.999780    100         4545.45
8922.111   0.999805    100         5128.21
8922.111   0.999829    100         5847.95
8922.111   0.999854    100         6849.32
8922.111   0.999878    100         8196.72
8922.111   0.999890    100         9090.91
8922.111   0.999902    100         10204.08
8922.111   0.999915    100         11764.71
8922.111   0.999927    100         13698.63
8922.111   0.999939    100         16393.44
8922.111   0.999945    100         18181.82
8922.111   0.999951    100         20408.16
8922.111   0.999957    100         23255.81
8922.111   0.999963    100         27027.03
8922.111   0.999969    100         32258.06
8922.111   0.999973    100         37037.04
8922.111   0.999976    100         41666.67
8922.111   0.999979    100         47619.05
8922.111   0.999982    100         55555.56
8922.111   0.999985    100         66666.67
8922.111   0.999986    100         71428.57
8922.111   0.999988    100         83333.33
8922.111   0.999989    100         90909.09
8922.111   0.999991    100         111111.11
8922.111   0.999992    100         125000.00
8922.111   0.999993    100         142857.14
8922.111   0.999994    100         166666.67
8922.111   0.999995    100         200000.00
8922.111   0.999996    100         250000.00
8922.111   0.999997    100         333333.33
8922.111   0.999998    100         500000.00
8922.111   0.999999    100         1000000.00
8922.111   1.000000    100         10000000.00
