Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
679.423    0.100000    1           1.11
683.807    0.200000    2           1.25
688.607    0.300000    3           1.43
692.703    0.400000    4           1.67
695.711    0.500000    5           2.00
696.703    0.550000    6           2.22
696.703    0.600000    6           2.50
704.831    0.650000    7           2.86
704.831    0.700000    7           3.33
707.519    0.750000    8           4.00
707.519    0.775000    8           4.44
707.519    0.800000    8           5.00
707.519    0.825000    8           5.71
709.823    0.850000    9           6.67
709.823    0.875000    9           8.00
709.823    0.887500    9           8.89
709.823    0.900000    9           10.00
709.823    0.912500    9           11.43
709.823    0.925000    9           13.33
709.823    0.937500    9           16.00
709.823    0.943750    9           17.78
725.023    0.950000    10          20.00
725.023    0.956250    10          22.86
725.023    0.962500    10          26.67
725.023    0.968750    10          32.00
725.023    0.971875    10          35.56
725.023    0.975000    10          40.00
725.023    0.978125    10          45.71
725.023    0.981250    10          53.33
725.023    0.984375    10          64.00
725.023    0.985938    10          71.11
725.023    0.987500    10          80.00
725.023    0.989062    10          91.42
725.023    0.990625    10          106.67
725.023    0.992188    10          128.01
725.023    0.992969    10          142.23
725.023    0.993750    10          160.00
725.023    0.994531    10          182.85
725.023    0.995313    10          213.36
725.023    0.996094    10          256.02
725.023    0.996484    10          284.41
725.023    0.996875    10          320.00
725.023    0.997266    10          365.76
725.023    0.997656    10          426.62
725.023    0.998047    10          512.03
725.023    0.998242    10          568.83
725.023    0.998437    10          639.80
725.023    0.998633    10          731.53
725.023    0.998828    10          853.24
725.023    0.999023    10          1023.54
725.023    0.999121    10          1137.66
725.023    0.999219    10          1280.41
725.023    0.999316    10          1461.99
725.023    0.999414    10          1706.48
725.023    0.999512    10          2049.18
725.023    0.999561    10          2277.90
725.023    0.999609    10          2557.54
725.023    0.999658    10          2923.98
725.023    0.999707    10          3412.97
725.023    0.999756    10          4098.36
725.023    0.999780    10          4545.45
725.023    0.999805    10          5128.21
725.023    0.999829    10          5847.95
725.023    0.999854    10          6849.32
725.023    0.999878    10          8196.72
725.023    0.999890    10          9090.91
725.023    0.999902    10          10204.08
725.023    0.999915    10          11764.71
725.023    0.999927    10          13698.63
725.023    0.999939    10          16393.44
725.023    0.999945    10          18181.82
725.023    0.999951    10          20408.16
725.023    0.999957    10          23255.81
725.023    0.999963    10          27027.03
725.023    0.999969    10          32258.06
725.023    0.999973    10          37037.04
725.023    0.999976    10          41666.67
725.023    0.999979    10          47619.05
725.023    0.999982    10          55555.56
725.023    0.999985    10          66666.67
725.023    0.999986    10          71428.57
725.023    0.999988    10          83333.33
725.023    0.999989    10          90909.09
725.023    0.999991    10          111111.11
725.023    0.999992    10          125000.00
725.023    0.999993    10          142857.14
725.023    0.999994    10          166666.67
725.023    0.999995    10          200000.00
725.023    0.999996    10          250000.00
725.023    0.999997    10          333333.33
725.023    0.999998    10          500000.00
725.023    0.999999    10          1000000.00
725.023    1.000000    10          10000000.00
