Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
3251.583   0.100000    305         1.11
4038.399   0.200000    610         1.25
5501.951   0.300000    916         1.43
7305.215   0.400000    1221        1.67
10419.711  0.500000    1526        2.00
11504.639  0.550000    1679        2.22
12726.783  0.600000    1831        2.50
13452.287  0.650000    1984        2.86
14578.687  0.700000    2136        3.33
15703.551  0.750000    2289        4.00
16045.055  0.775000    2365        4.44
16456.703  0.800000    2442        5.00
16783.359  0.825000    2518        5.71
17020.927  0.850000    2594        6.67
17287.167  0.875000    2671        8.00
17498.111  0.887500    2709        8.89
17820.671  0.900000    2747        10.00
17989.631  0.912500    2785        11.43
18141.183  0.925000    2823        13.33
18496.511  0.937500    2861        16.00
18689.023  0.943750    2880        17.78
18824.191  0.950000    2899        20.00
18959.359  0.956250    2918        22.86
19082.239  0.962500    2938        26.67
19214.335  0.968750    2957        32.00
19326.975  0.971875    2966        35.56
19503.103  0.975000    2976        40.00
19558.399  0.978125    2985        45.71
19705.855  0.981250    2995        53.33
19887.103  0.984375    3004        64.00
19954.687  0.985938    3009        71.11
19984.383  0.987500    3014        80.00
20015.103  0.989062    3019        91.42
20045.823  0.990625    3023        106.67
20075.519  0.992188    3028        128.01
20120.575  0.992969    3031        142.23
20216.831  0.993750    3033        160.00
20501.503  0.994531    3035        182.85
20596.735  0.995313    3038        213.36
20964.351  0.996094    3040        256.02
20980.735  0.996484    3041        284.41
21059.583  0.996875    3042        320.00
21173.247  0.997266    3044        365.76
21212.159  0.997656    3045        426.62
21214.207  0.998047    3046        512.03
21219.327  0.998242    3047        568.83
21219.327  0.998437    3047        639.80
21243.903  0.998633    3048        731.53
21243.903  0.998828    3048        853.24
21243.903  0.999023    3049        1023.54
21243.903  0.999121    3049        1137.66
21275.647  0.999219    3050        1280.41
21275.647  0.999316    3050        1461.99
21275.647  0.999414    3050        1706.48
21293.055  0.999512    3051        2049.18
21293.055  0.999561    3051        2277.90
21293.055  0.999609    3051        2557.54
21293.055  0.999658    3051        2923.98
21293.055  0.999707    3051        3412.97
21293.055  0.999756    3051        4098.36
21293.055  0.999780    3051        4545.45
21293.055  0.999805    3051        5128.21
21293.055  0.999829    3051        5847.95
21306.367  0.999854    3052        6849.32
21306.367  0.999878    3052        8196.72
21306.367  0.999890    3052        9090.91
21306.367  0.999902    3052        10204.08
21306.367  0.999915    3052        11764.71
21306.367  0.999927    3052        13698.63
21306.367  0.999939    3052        16393.44
21306.367  0.999945    3052        18181.82
21306.367  0.999951    3052        20408.16
21306.367  0.999957    3052        23255.81
21306.367  0.999963    3052        27027.03
21306.367  0.999969    3052        32258.06
21306.367  0.999973    3052        37037.04
21306.367  0.999976    3052        41666.67
21306.367  0.999979    3052        47619.05
21306.367  0.999982    3052        55555.56
21306.367  0.999985    3052        66666.67
21306.367  0.999986    3052        71428.57
21306.367  0.999988    3052        83333.33
21306.367  0.999989    3052        90909.09
21306.367  0.999991    3052        111111.11
21306.367  0.999992    3052        125000.00
21306.367  0.999993    3052        142857.14
21306.367  0.999994    3052        166666.67
21306.367  0.999995    3052        200000.00
21306.367  0.999996    3052        250000.00
21306.367  0.999997    3052        333333.33
21306.367  0.999998    3052        500000.00
21306.367  0.999999    3052        1000000.00
21306.367  1.000000    3052        10000000.00
