Value(ms)  Percentile  TotalCount  1/(1-Percentile)
0.000      0.000000    0           1.00
391.007    0.100000    100         1.11
484.415    0.200000    200         1.25
625.215    0.300000    300         1.43
776.127    0.400000    400         1.67
1002.207   0.500000    500         2.00
1142.463   0.550000    550         2.22
1295.551   0.600000    600         2.50
1479.807   0.650000    650         2.86
1650.751   0.700000    700         3.33
1850.559   0.750000    750         4.00
1945.407   0.775000    775         4.44
2055.743   0.800000    800         5.00
2173.183   0.825000    825         5.71
2341.119   0.850000    850         6.67
2521.343   0.875000    875         8.00
2600.447   0.887500    888         8.89
2702.335   0.900000    900         10.00
2763.007   0.912500    913         11.43
2895.615   0.925000    925         13.33
2994.815   0.937500    938         16.00
3075.583   0.943750    944         17.78
3134.079   0.950000    950         20.00
3182.079   0.956250    956         22.86
3337.471   0.962500    963         26.67
3377.151   0.968750    969         32.00
3419.775   0.971875    972         35.56
3485.439   0.975000    975         40.00
3526.527   0.978125    978         45.71
3607.423   0.981250    981         53.33
3713.279   0.984375    984         64.00
3720.959   0.985938    986         71.11
3908.095   0.987500    988         80.00
3908.095   0.989062    989         91.42
4029.567   0.990625    991         106.67
4039.679   0.992188    992         128.01
4140.799   0.992969    993         142.23
4160.639   0.993750    994         160.00
4171.903   0.994531    995         182.85
4171.903   0.995313    995         213.36
4370.175   0.996094    996         256.02
4370.175   0.996484    996         284.41
4477.183   0.996875    997         320.00
4477.183   0.997266    997         365.76
4669.951   0.997656    998         426.62
4669.951   0.998047    998         512.03
4669.951   0.998242    998         568.83
4669.951   0.998437    998         639.80
5374.719   0.998633    999         731.53
5374.719   0.998828    999         853.24
5374.719   0.999023    999         1023.54
5374.719   0.999121    999         1137.66
5374.719   0.999219    999         1280.41
5374.719   0.999316    999         1461.99
5374.719   0.999414    999         1706.48
5540.607   0.999512    1000        2049.18
5540.607   0.999561    1000        2277.90
5540.607   0.999609    1000        2557.54
5540.607   0.999658    1000        2923.98
5540.607   0.999707    1000        3412.97
5540.607   0.999756    1000        4098.36
5540.607   0.999780    1000        4545.45
5540.607   0.999805    1000        5128.21
5540.607   0.999829    1000        5847.95
5540.607   0.999854    1000        6849.32
5540.607   0.999878    1000        8196.72
5540.607   0.999890    1000        9090.91
5540.607   0.999902    1000        10204.08
5540.607   0.999915    1000        11764.71
5540.607   0.999927    1000        13698.63
5540.607   0.999939    1000        16393.44
5540.607   0.999945    1000        18181.82
5540.607   0.999951    1000        20408.16
5540.607   0.999957    1000        23255.81
5540.607   0.999963    1000        27027.03
5540.607   0.999969    1000        32258.06
5540.607   0.999973    1000        37037.04
5540.607   0.999976    1000        41666.67
5540.607   0.999979    1000        47619.05
5540.607   0.999982    1000        55555.56
5540.607   0.999985    1000        66666.67
5540.607   0.999986    1000        71428.57
5540.607   0.999988    1000        83333.33
5540.607   0.999989    1000        90909.09
5540.607   0.999991    1000        111111.11
5540.607   0.999992    1000        125000.00
5540.607   0.999993    1000        142857.14
5540.607   0.999994    1000        166666.67
5540.607   0.999995    1000        200000.00
5540.607   0.999996    1000        250000.00
5540.607   0.999997    1000        333333.33
5540.607   0.999998    1000        500000.00
5540.607   0.999999    1000        1000000.00
5540.607   1.000000    1000        10000000.00
